Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_Fast,MA_Slow,Signal,Crossover
2025-08-04 00:00:00+05:30,1321.9455957783173,1328.3584969022777,1295.504662970307,1316.2232666015625,208290,0.0,0.0,1372.7825640135575,1402.0100838241765,-1,0.0
2025-08-05 00:00:00+05:30,1331.910215905827,1332.008851834902,1266.794605350431,1282.2841796875,659950,0.0,0.0,1356.3283123179106,1390.6076167635406,-1,0.0
2025-08-06 00:00:00+05:30,1278.7323941896166,1296.3925604624376,1265.807956676794,1275.3779296875,191288,0.0,0.0,1341.6100609305631,1379.6333608515367,-1,0.0
2025-08-07 00:00:00+05:30,1267.78119850513,1286.033301362986,1260.8749974237792,1273.8980712890625,250791,0.0,0.0,1329.298790086654,1369.5633332741584,-1,0.0
2025-08-08 00:00:00+05:30,1276.6606447036258,1310.205051133242,1273.5035722723228,1302.509521484375,534601,0.0,0.0,1324.4280139771486,1363.1772559608457,-1,0.0
2025-08-11 00:00:00+05:30,1306.1600233329928,1330.3317281305824,1296.392657307456,1319.4791259765625,381107,0.0,0.0,1323.52821615886,1359.015529295676,-1,0.0
2025-08-12 00:00:00+05:30,1324.1160460624833,1340.7896127956458,1314.644708646209,1338.619140625,231745,0.0,0.0,1326.272020607249,1357.073016088945,-1,0.0
2025-08-13 00:00:00+05:30,1339.901658998461,1350.655624875844,1322.7347920533691,1325.300048828125,166706,0.0,0.0,1326.09529846559,1354.0470192069622,-1,0.0
2025-08-14 00:00:00+05:30,1333.4000244140625,1344.0999755859375,1310.0,1313.699951171875,291241,18.0,0.0,1323.8415989576417,1350.2044412988587,-1,0.0
2025-08-18 00:00:00+05:30,1334.9000244140625,1343.300048828125,1302.699951171875,1339.699951171875,211089,0.0,0.0,1326.7249357238659,1349.2040136677174,-1,0.0
2025-08-19 00:00:00+05:30,1340.0,1346.5999755859375,1321.0,1338.5999755859375,122236,0.0,0.0,1328.884033880606,1348.1941052789764,-1,0.0
2025-08-20 00:00:00+05:30,1338.5999755859375,1355.300048828125,1332.199951171875,1339.9000244140625,168542,0.0,0.0,1330.8869412503252,1347.4041928156514,-1,0.0
2025-08-21 00:00:00+05:30,1340.0,1346.4000244140625,1328.5999755859375,1330.0999755859375,114107,0.0,0.0,1330.7438565840728,1345.7561721271072,-1,0.0
2025-08-22 00:00:00+05:30,1330.0999755859375,1337.300048828125,1317.699951171875,1327.0999755859375,82166,0.0,0.0,1330.08133276623,1343.9793915041387,-1,0.0
2025-08-25 00:00:00+05:30,1334.4000244140625,1334.5,1320.0,1323.4000244140625,79200,0.0,0.0,1328.8665494294721,1342.0194517812743,-1,0.0
2025-08-26 00:00:00+05:30,1323.0,1324.0,1280.0,1282.5,274616,0.0,0.0,1320.4362677150227,1336.35093256401,-1,0.0
2025-08-28 00:00:00+05:30,1292.5999755859375,1332.5,1270.300048828125,1274.4000244140625,1021701,0.0,0.0,1312.0660416603027,1330.4508460735387,-1,0.0
